,0,1,2,3,4,5,label
0,-0.044088617,-0.045359127,-0.024289224,-0.030221231,-0.030415908,-0.015276177,2
1,-0.0443176,-0.04573859,-0.024687149,-0.030240892,-0.030512918,-0.0155429775,2
2,-0.044112634,-0.045286443,-0.024123851,-0.030110633,-0.030503975,-0.015204673,2
3,-0.044001278,-0.04500878,-0.0241995,-0.030000621,-0.030342976,-0.015252289,2
4,-0.04415852,-0.045139477,-0.024499835,-0.030257026,-0.03049934,-0.015440886,2
5,-0.044525083,-0.044772584,-0.024650173,-0.030214693,-0.030376516,-0.015444477,2
6,-0.044475064,-0.044755656,-0.02454409,-0.030252935,-0.030403111,-0.015378547,2
7,-0.0445265,-0.044778027,-0.024640534,-0.030338531,-0.03045112,-0.015432894,2
8,-0.04432326,-0.04458989,-0.024649449,-0.030266823,-0.030349037,-0.015477091,2
9,-0.044343505,-0.04458315,-0.024589585,-0.030455401,-0.030499456,-0.01542128,2
10,-0.04429429,-0.044654284,-0.02481763,-0.030488327,-0.03048537,-0.015586075,2
11,-0.044202294,-0.04458994,-0.024787627,-0.03047373,-0.030491345,-0.0155494595,2
12,-0.044181887,-0.044524215,-0.024789033,-0.030509403,-0.030461943,-0.015544083,2
13,-0.0441863,-0.044544525,-0.024769716,-0.03054698,-0.030449854,-0.015545403,2
14,-0.043923095,-0.044328805,-0.02474122,-0.030361004,-0.030290695,-0.015543747,2
15,-0.043930616,-0.044282578,-0.02467812,-0.030289214,-0.030199718,-0.015498885,2
16,-0.044146392,-0.044564553,-0.024857203,-0.030576393,-0.030447515,-0.01561025,2
17,-0.04425041,-0.04455001,-0.024877025,-0.030564101,-0.030409463,-0.01561139,2
18,-0.04417777,-0.044378746,-0.024673212,-0.030382603,-0.030169442,-0.015469627,2
19,-0.044206787,-0.04447158,-0.024727006,-0.030334625,-0.030078547,-0.015527271,2
20,-0.04400256,-0.044217817,-0.024585443,-0.030245183,-0.029990979,-0.015434415,2
21,-0.044223715,-0.044413537,-0.024688976,-0.030641383,-0.030322509,-0.015480568,2
22,-0.044223625,-0.04432259,-0.024685767,-0.030564079,-0.030186985,-0.015485585,2
23,-0.044206876,-0.04422431,-0.024698213,-0.030507317,-0.030165598,-0.015479476,2
24,-0.04395353,-0.043996524,-0.024405401,-0.030066332,-0.029839726,-0.015714524,2
25,-0.04376976,-0.043797523,-0.024232557,-0.030560689,-0.030128498,-0.015582995,2
26,-0.043372866,-0.04313273,-0.024359649,-0.030260675,-0.029688325,-0.015635239,2
27,-0.043338135,-0.043174423,-0.024497924,-0.030269533,-0.02954249,-0.015750092,2
28,-0.043437406,-0.04327108,-0.02455232,-0.030841963,-0.029988255,-0.015703078,2
29,-0.043252926,-0.04320868,-0.024493795,-0.030915195,-0.030050652,-0.015574525,2
30,-0.043918837,-0.04384497,-0.025012452,-0.03153135,-0.030496106,-0.015710983,2
31,-0.04423368,-0.044171896,-0.025063908,-0.031619772,-0.030650916,-0.015729079,2
32,-0.04469409,-0.04479851,-0.02569572,-0.0317197,-0.030601375,-0.016117966,2
33,-0.045874473,-0.045985073,-0.026326869,-0.032260437,-0.031325422,-0.016511545,2
34,-0.046808995,-0.046826936,-0.026246114,-0.032305878,-0.0317699,-0.016435374,2
35,-0.046938505,-0.047142886,-0.026329072,-0.032530252,-0.032216344,-0.016621176,2
36,-0.046903964,-0.04730599,-0.026692862,-0.032188427,-0.03227941,-0.016920542,2
37,-0.047645055,-0.048290677,-0.027066628,-0.03252806,-0.03274181,-0.016960142,2
38,-0.048176702,-0.04825692,-0.027312309,-0.032889344,-0.033049233,-0.01689993,2
39,-0.049926855,-0.049442887,-0.02818535,-0.033872362,-0.033830166,-0.017342066,2
40,-0.05149221,-0.05112902,-0.029057492,-0.034901816,-0.03483499,-0.017894698,2
41,-0.052585263,-0.05218263,-0.029824441,-0.035601124,-0.035651777,-0.018375156,2
42,-0.053709928,-0.053276215,-0.030592777,-0.036254507,-0.036161996,-0.018971048,2
43,-0.054151546,-0.053741757,-0.031535417,-0.036970038,-0.03645848,-0.01957671,2
44,-0.056146864,-0.05534723,-0.032673616,-0.038553722,-0.03736267,-0.020477997,2
45,-0.05804907,-0.056991816,-0.033995092,-0.039748322,-0.038421545,-0.021384554,2
46,-0.05809402,-0.057147693,-0.033993278,-0.039980527,-0.0385827,-0.021258019,2
47,-0.059102092,-0.05845658,-0.033988487,-0.040485535,-0.03950789,-0.021101132,2
48,-0.060574275,-0.06068474,-0.0337366,-0.041336704,-0.040471207,-0.020698972,2
49,-0.061378937,-0.061524082,-0.03386931,-0.04165107,-0.04103969,-0.020679498,2
50,-0.062565684,-0.06279786,-0.03463509,-0.04219256,-0.042060338,-0.021060001,2
51,-0.06443114,-0.06476272,-0.035878893,-0.043218944,-0.043682113,-0.02211803,2
52,-0.065497234,-0.06598106,-0.03696143,-0.043431055,-0.044032976,-0.023080543,2
53,-0.06612335,-0.06643123,-0.03735134,-0.04356591,-0.044473313,-0.023261795,2
54,-0.06822974,-0.06848249,-0.038563326,-0.04490685,-0.045622423,-0.02415854,2
55,-0.07205901,-0.07158666,-0.04124048,-0.048096016,-0.04836475,-0.025847496,2
56,-0.075192094,-0.074906565,-0.043062307,-0.050186127,-0.05044737,-0.026932195,2
57,-0.07825375,-0.07787359,-0.04527692,-0.052390017,-0.052319415,-0.028142942,2
58,-0.0809216,-0.08038725,-0.046552084,-0.055025708,-0.053810176,-0.02894843,2
59,-0.08921646,-0.08832101,-0.052141152,-0.060041964,-0.05868529,-0.03257695,2
60,-0.09427086,-0.09343906,-0.054779653,-0.06409939,-0.06173202,-0.034652323,2
61,-0.10060047,-0.09961913,-0.06000797,-0.069346674,-0.06690631,-0.03761308,2
62,-0.11038019,-0.10953949,-0.064447924,-0.07474474,-0.0715056,-0.040637612,2
63,-0.11377688,-0.113356926,-0.066221625,-0.076894134,-0.074264936,-0.041522823,2
64,-0.12233468,-0.12232064,-0.070699565,-0.08220176,-0.07992228,-0.044087112,2
65,-0.1321089,-0.1320514,-0.07504883,-0.08835206,-0.086306974,-0.046636693,2
66,-0.13851713,-0.13794334,-0.079443336,-0.091358244,-0.09037567,-0.049232125,2
67,-0.1509594,-0.15112293,-0.08696793,-0.100482434,-0.10068699,-0.053568467,2
68,-0.16902082,-0.17082073,-0.097686246,-0.112716176,-0.11208234,-0.060991712,2
69,-0.17948447,-0.18135145,-0.10489591,-0.117806934,-0.118626945,-0.065655254,2
70,-0.1964458,-0.19760422,-0.118047774,-0.1277172,-0.12879816,-0.07375536,2
71,-0.20541862,-0.20746337,-0.12307643,-0.13602158,-0.13798375,-0.07740968,2
72,-0.22176875,-0.22371474,-0.13482475,-0.14671084,-0.14918604,-0.08443433,2
73,-0.24766923,-0.2512263,-0.15038934,-0.16704884,-0.16771708,-0.094305634,2
74,-0.28028455,-0.28472945,-0.16375875,-0.19041578,-0.19189206,-0.09911123,2
75,-0.3083691,-0.3137025,-0.1875305,-0.21518384,-0.21227878,-0.11422645,2
76,-0.3324076,-0.33986953,-0.21127321,-0.23843862,-0.23621912,-0.13156822,2
77,-0.35770196,-0.36865702,-0.2417849,-0.2741271,-0.27366284,-0.14951405,2
78,-0.3833413,-0.38814986,-0.26120695,-0.30318606,-0.3004675,-0.16416313,2
79,-0.41800463,-0.41611612,-0.2804576,-0.3294941,-0.32299706,-0.17815161,2
80,-0.42535567,-0.42807496,-0.32179213,-0.36619607,-0.35623693,-0.20250078,2
81,-0.44551763,-0.45652333,-0.3449859,-0.3929933,-0.37963212,-0.21445087,2
82,-0.48272428,-0.49196586,-0.3684812,-0.41835386,-0.40480977,-0.22825152,2
83,-0.51530933,-0.5184439,-0.38356552,-0.43955827,-0.4321028,-0.2361391,2
84,-0.5028619,-0.5087064,-0.37730867,-0.42859557,-0.42322135,-0.2353478,2
85,-0.5066589,-0.51086533,-0.3572649,-0.4231125,-0.4254484,-0.2251897,2
86,-0.4739742,-0.48125705,-0.3349585,-0.38585114,-0.39035213,-0.21254899,2
87,-0.4366126,-0.44665748,-0.30265766,-0.34940234,-0.35317054,-0.19170891,2
88,-0.4064377,-0.41413483,-0.276115,-0.31093287,-0.3139047,-0.17510396,2
89,-0.3892618,-0.39721602,-0.25910327,-0.2943274,-0.30013892,-0.16410959,2
90,-0.37024048,-0.37173638,-0.2369489,-0.2639739,-0.27021158,-0.15006334,2
91,-0.3558948,-0.35901293,-0.2282106,-0.24448542,-0.24669099,-0.14518224,2
92,-0.33542508,-0.33445114,-0.205785,-0.22383367,-0.22387956,-0.12829903,2
93,-0.30527174,-0.30425602,-0.17619058,-0.20666997,-0.20082381,-0.11068291,2
94,-0.281306,-0.27791575,-0.1610923,-0.18950975,-0.18511193,-0.10111131,2
95,-0.25629634,-0.25441068,-0.14876978,-0.17306426,-0.16986062,-0.09316766,2
96,-0.23287965,-0.23141602,-0.13619518,-0.15883034,-0.15584178,-0.08581856,2
97,-0.2065584,-0.20711134,-0.12082192,-0.14067678,-0.13701905,-0.0766043,2
98,-0.18575853,-0.18768014,-0.10716669,-0.1253297,-0.12356369,-0.06843495,2
99,-0.16908807,-0.17039019,-0.09628748,-0.11467017,-0.11453815,-0.06117871,2
100,-0.16003145,-0.16056421,-0.09217377,-0.106090665,-0.106432594,-0.058017865,2
101,-0.14554606,-0.14641812,-0.08503677,-0.09946147,-0.09901812,-0.053444397,2
102,-0.13577046,-0.13333885,-0.07444234,-0.09105579,-0.08917281,-0.047649007,2
103,-0.12269132,-0.11971331,-0.06635581,-0.084068455,-0.082029894,-0.04172323,2
104,-0.11510475,-0.11342627,-0.06490769,-0.07989634,-0.07742953,-0.040856395,2
105,-0.10990195,-0.1081723,-0.06284594,-0.07690313,-0.07395439,-0.039771266,2
106,-0.10508031,-0.104420714,-0.061830867,-0.072539374,-0.07014824,-0.038918365,2
107,-0.095029324,-0.09497589,-0.056506358,-0.06512689,-0.06373494,-0.035260484,2
108,-0.08609307,-0.086477645,-0.0498473,-0.058383342,-0.058560237,-0.03095026,2
109,-0.08106865,-0.081165664,-0.04702657,-0.054703828,-0.054993674,-0.029210797,2
110,-0.07690934,-0.07700315,-0.044052914,-0.052525725,-0.05285386,-0.027404921,2
111,-0.074012935,-0.074083924,-0.042343963,-0.050439723,-0.05033857,-0.02640091,2
112,-0.07172394,-0.07129172,-0.040773045,-0.04955296,-0.04887954,-0.025394976,2
113,-0.06868911,-0.06799461,-0.038970158,-0.04852681,-0.04681313,-0.024544455,2
114,-0.06411342,-0.06291392,-0.036435142,-0.0451487,-0.043832082,-0.023055252,2
115,-0.06228641,-0.06078412,-0.03599575,-0.043955497,-0.042854324,-0.022809997,2
116,-0.059049852,-0.057772685,-0.034820203,-0.041888986,-0.040756445,-0.022119232,2
117,-0.05681091,-0.05563387,-0.03424187,-0.040479783,-0.039155215,-0.02173992,2
118,-0.05330659,-0.052914858,-0.030800598,-0.0378835,-0.037178196,-0.019199412,2
119,-0.050252266,-0.0502163,-0.028977621,-0.0351173,-0.03503188,-0.018139916,2
120,-0.04750018,-0.047340885,-0.027329303,-0.03374931,-0.033690583,-0.01675258,2
121,-0.04586988,-0.045759674,-0.02634333,-0.03260111,-0.032636486,-0.016298542,2
122,-0.045007654,-0.04483364,-0.025802905,-0.031729754,-0.0315272,-0.015957195,2
123,-0.043774623,-0.042989843,-0.024857827,-0.031177666,-0.030275958,-0.015304955,2
124,-0.042915087,-0.041505545,-0.024025336,-0.030068954,-0.029603811,-0.015187812,2
125,-0.041680355,-0.04000156,-0.023359936,-0.029455654,-0.028696736,-0.014205521,2
126,-0.040959056,-0.038878754,-0.023188919,-0.029253576,-0.028346673,-0.014182918,2
127,-0.040347252,-0.03805478,-0.023009127,-0.028935922,-0.027756944,-0.014059633,2
128,-0.03952749,-0.036994815,-0.022694761,-0.028471379,-0.027164988,-0.013953188,2
129,-0.03879417,-0.036344092,-0.022403821,-0.02770743,-0.02659562,-0.013833787,2
130,-0.037673496,-0.035603486,-0.022009365,-0.02673956,-0.025902191,-0.013714746,2
131,-0.03650086,-0.03519908,-0.020961033,-0.026646797,-0.026226873,-0.013006254,2
132,-0.036149234,-0.035141345,-0.021049434,-0.026503751,-0.02627561,-0.013159994,2
133,-0.036000397,-0.03549813,-0.02131497,-0.026446315,-0.026375208,-0.013337464,2
134,-0.03586866,-0.035598032,-0.021183902,-0.026114538,-0.026084505,-0.013309341,2
135,-0.03710845,-0.03700164,-0.021383973,-0.026724197,-0.026805006,-0.013486965,2
136,-0.038332433,-0.038092617,-0.021865709,-0.026790664,-0.026911747,-0.014202782,2
137,-0.04063854,-0.040824626,-0.023341324,-0.028598648,-0.028184446,-0.014890015,2
138,-0.040602703,-0.04034128,-0.023476414,-0.028471284,-0.028058978,-0.015109808,2
139,-0.042081777,-0.042270526,-0.02436453,-0.02920226,-0.028963514,-0.01551682,2
140,-0.044077586,-0.04424505,-0.025111847,-0.030677762,-0.030383503,-0.015794538,2
141,-0.045908637,-0.04610839,-0.026247324,-0.03205686,-0.031490877,-0.016413106,2
142,-0.04944837,-0.05018222,-0.028214836,-0.034130286,-0.033805523,-0.017720807,2
143,-0.052981205,-0.053249612,-0.02934779,-0.03594878,-0.03598435,-0.01858538,2
144,-0.05482267,-0.05536455,-0.030677063,-0.037789773,-0.037958317,-0.019248432,2
145,-0.05756853,-0.057473715,-0.03283906,-0.03967811,-0.039439622,-0.020003757,2
146,-0.059806142,-0.059482843,-0.03389342,-0.041081805,-0.04069266,-0.020360118,2
147,-0.06477298,-0.06427926,-0.036113966,-0.044331945,-0.043792944,-0.021935979,2
148,-0.07086394,-0.07000111,-0.040165327,-0.048693325,-0.047545873,-0.0250599,2
149,-0.07524205,-0.073928475,-0.043594852,-0.05211199,-0.050250165,-0.027079063,2
150,-0.0796927,-0.078253835,-0.04599733,-0.054980174,-0.053282868,-0.028702483,2
151,-0.08501292,-0.083745144,-0.04827227,-0.058590963,-0.05735189,-0.030194152,2
152,-0.09072271,-0.0906474,-0.049993996,-0.061989184,-0.062080745,-0.030627238,2
153,-0.09639925,-0.09727985,-0.05402344,-0.065521576,-0.065697625,-0.033673532,2
154,-0.10009567,-0.101341985,-0.057571627,-0.06730716,-0.06845018,-0.036228687,2
155,-0.10649999,-0.10629973,-0.06273194,-0.07153953,-0.073035166,-0.039148103,2
156,-0.113008544,-0.1144208,-0.070653334,-0.07676104,-0.076293774,-0.044370044,2
157,-0.12455517,-0.12561828,-0.074471034,-0.08678946,-0.08510158,-0.047233067,2
158,-0.1369121,-0.13618569,-0.086326,-0.09652319,-0.09360184,-0.0556212,2
159,-0.14741683,-0.14553097,-0.09160254,-0.104486205,-0.10332717,-0.058587573,2
160,-0.16214648,-0.15860637,-0.09833318,-0.1146753,-0.11508413,-0.061970077,2
161,-0.17266996,-0.16928749,-0.10347784,-0.1198369,-0.12339109,-0.06499126,2
162,-0.18194112,-0.1804234,-0.10988237,-0.12823161,-0.13247621,-0.06876529,2
163,-0.19412711,-0.19288658,-0.117902376,-0.1349234,-0.14214441,-0.07469503,2
164,-0.20449217,-0.20363006,-0.12331333,-0.14076637,-0.1485858,-0.07849905,2
165,-0.20574036,-0.20290624,-0.12613283,-0.13943414,-0.14965299,-0.08036609,2
166,-0.2118111,-0.20878798,-0.12993357,-0.14756873,-0.15531966,-0.08388753,2
167,-0.21538942,-0.21332666,-0.12975563,-0.14955392,-0.15496114,-0.08374066,2
168,-0.21526986,-0.21529745,-0.12733018,-0.15132271,-0.15254304,-0.082577236,2
169,-0.20909095,-0.20879419,-0.12578954,-0.14815767,-0.14938147,-0.08069616,2
170,-0.2009798,-0.20140855,-0.124590866,-0.14323065,-0.14250453,-0.07994819,2
171,-0.1914133,-0.1928707,-0.122454934,-0.13835242,-0.13763097,-0.07840728,2
