0,1,2,3,4,5,label
-0.1667961,-0.1645709,-0.086705126,-0.116410635,-0.111155316,-0.05628666,1
-0.09747208,-0.098539725,-0.053091556,-0.07005475,-0.068080075,-0.034159057,1
-0.07918811,-0.07959714,-0.040543456,-0.053228375,-0.053477228,-0.025049848,1
-0.07813371,-0.07799006,-0.041015293,-0.053021632,-0.052783094,-0.025386285,1
-0.07460735,-0.07436577,-0.03959353,-0.050381627,-0.049766533,-0.024471564,1
-0.06869791,-0.06818861,-0.036199126,-0.04580479,-0.04514371,-0.022473933,1
-0.06580891,-0.06521563,-0.034491867,-0.04443149,-0.043670014,-0.021496758,1
-0.063293375,-0.063192695,-0.03300969,-0.042943873,-0.04209541,-0.020641547,1
-0.060729586,-0.061198544,-0.031795304,-0.040670883,-0.040301114,-0.019895522,1
-0.059419043,-0.06000364,-0.03064779,-0.040141303,-0.039660774,-0.019531425,1
-0.058027484,-0.058950543,-0.030264826,-0.0394011,-0.0389818,-0.019424232,1
-0.0551024,-0.05639175,-0.028644763,-0.03721509,-0.03686033,-0.018366324,1
-0.052702356,-0.053789906,-0.027532015,-0.03576773,-0.035629194,-0.017605497,1
-0.051410906,-0.05249209,-0.02702478,-0.03479348,-0.034769434,-0.01724882,1
-0.05204655,-0.05293613,-0.02762771,-0.03519137,-0.035154846,-0.017445687,1
-0.050685227,-0.051565725,-0.027151331,-0.03429877,-0.03415877,-0.016943235,1
-0.050820746,-0.051487595,-0.027198173,-0.034607656,-0.03428326,-0.01687468,1
-0.05280792,-0.0532525,-0.028797677,-0.036273457,-0.03583875,-0.017906394,1
-0.050178748,-0.050057363,-0.027453745,-0.034401294,-0.033851415,-0.017179351,1
-0.048949752,-0.049160462,-0.026724678,-0.033026718,-0.03223046,-0.017172923,1
-0.04784738,-0.047807205,-0.025585214,-0.032617155,-0.031693902,-0.016436609,1
-0.047860406,-0.04826627,-0.02466474,-0.032665417,-0.032200377,-0.015748737,1
-0.04873261,-0.049346313,-0.025511574,-0.03358499,-0.03289266,-0.016334554,1
-0.048408847,-0.049214706,-0.02554977,-0.033169653,-0.03233338,-0.0163069,1
-0.048866812,-0.049350914,-0.025893195,-0.032409526,-0.03257902,-0.016409287,1
-0.049448777,-0.050466754,-0.026024977,-0.033375107,-0.0337228,-0.016648727,1
-0.0503017,-0.051883556,-0.026675863,-0.034193017,-0.034460586,-0.017154941,1
-0.051273786,-0.05279473,-0.027273431,-0.034788266,-0.03504866,-0.017587572,1
-0.05297318,-0.053920537,-0.02848711,-0.035733595,-0.036789663,-0.018146902,1
-0.055346996,-0.056151472,-0.030352086,-0.03735062,-0.0383436,-0.019331856,1
-0.056170266,-0.05715428,-0.031380784,-0.037583753,-0.03865357,-0.019873796,1
-0.057530835,-0.05857437,-0.03173678,-0.039106123,-0.039455812,-0.020071177,1
-0.060680844,-0.061203126,-0.033643868,-0.041404545,-0.041474164,-0.021201255,1
-0.06253328,-0.06312931,-0.033855457,-0.042472333,-0.04171266,-0.021782845,1
-0.06376701,-0.06411385,-0.03429289,-0.043100346,-0.042106315,-0.02218793,1
-0.06459915,-0.06491428,-0.03419049,-0.043467466,-0.042250536,-0.022210201,1
-0.06584335,-0.06619597,-0.034221265,-0.044449642,-0.043628234,-0.022247031,1
-0.06686453,-0.06781156,-0.034470342,-0.045736834,-0.04463282,-0.022315286,1
-0.06898325,-0.070602424,-0.035758752,-0.047052912,-0.046165086,-0.023104038,1
-0.071195915,-0.07302122,-0.03667759,-0.048603896,-0.04783367,-0.02357465,1
-0.07283244,-0.07527542,-0.03739279,-0.04963833,-0.04908845,-0.02392628,1
-0.073775195,-0.07627699,-0.037654605,-0.050242834,-0.049889416,-0.024136422,1
-0.07536144,-0.07789887,-0.03776121,-0.051790312,-0.051534917,-0.024602426,1
-0.077446364,-0.08087632,-0.038906217,-0.052299976,-0.052563507,-0.025526965,1
-0.07834038,-0.08102007,-0.03990357,-0.051930793,-0.053302687,-0.025707413,1
-0.0805395,-0.08416106,-0.041677486,-0.054189965,-0.0544307,-0.02717342,1
-0.085290685,-0.08880069,-0.04432712,-0.057340104,-0.05745027,-0.028843123,1
-0.08622367,-0.08944571,-0.044505205,-0.057921115,-0.05785338,-0.028995484,1
-0.08766261,-0.0904754,-0.04480627,-0.05904072,-0.05886768,-0.029078929,1
-0.094876654,-0.09758824,-0.048621457,-0.0634168,-0.063235454,-0.031828668,1
-0.10007803,-0.103043325,-0.051498264,-0.066609465,-0.066306844,-0.033660676,1
-0.09976843,-0.10291943,-0.05079828,-0.06654857,-0.06657285,-0.032905668,1
-0.10248944,-0.10532662,-0.051761832,-0.06755749,-0.067961104,-0.03358927,1
-0.104900226,-0.107709296,-0.05269729,-0.069420464,-0.07020712,-0.034140587,1
-0.10704991,-0.11111833,-0.05426977,-0.07171179,-0.07291188,-0.035142764,1
-0.11098725,-0.115721114,-0.056913882,-0.07327788,-0.07464868,-0.03669207,1
-0.11410209,-0.11886669,-0.05841689,-0.07439455,-0.075929426,-0.03761088,1
-0.11627335,-0.11942844,-0.059597354,-0.078182064,-0.07920293,-0.038837295,1
-0.12563074,-0.12882687,-0.06375577,-0.082975075,-0.08287964,-0.0414257,1
-0.13049819,-0.13442448,-0.06769959,-0.08753048,-0.08668906,-0.043711856,1
-0.135996,-0.13866049,-0.06863445,-0.08962622,-0.08911069,-0.044260576,1
-0.13507608,-0.1362369,-0.06973516,-0.08867416,-0.08878595,-0.044591554,1
